buyer_id,date,hour,spend
13,5/19/18,19,$6.52 
13,5/19/18,20,$5.72 
13,5/19/18,21,$6.09 
13,5/19/18,22,$15.59 
13,5/19/18,23,$86.52 
13,5/20/18,0,$6.63 
13,5/20/18,1,$8.82 
13,5/20/18,2,$8.63 
13,5/20/18,3,$9.65 
13,5/20/18,4,$5.96 
13,5/20/18,5,$4.48 
13,5/20/18,6,$3.34 
13,5/20/18,7,$2.40 
13,5/20/18,8,$1.88 
13,5/20/18,9,$1.76 
13,5/20/18,10,$2.22 
13,5/20/18,11,$3.48 
13,5/20/18,12,$4.71 
13,5/20/18,13,$6.39 
13,5/20/18,14,$6.86 
13,5/20/18,15,$6.80 
13,5/20/18,16,$6.42 
13,5/20/18,17,$6.42 
13,5/20/18,18,$6.65 
13,5/20/18,19,$6.30 
13,5/20/18,20,$6.88 
13,5/20/18,21,$7.08 
13,5/20/18,22,$18.69 
13,5/20/18,23,$88.67 
13,5/21/18,0,$8.28 
13,5/21/18,1,$9.47 
13,5/21/18,2,$10.65 
13,5/21/18,3,$11.09 
13,5/21/18,4,$5.15 
13,5/21/18,5,$3.69 
13,5/21/18,6,$2.89 
13,5/21/18,7,$2.00 
13,5/21/18,8,$2.02 
13,5/21/18,9,$2.19 
13,5/21/18,10,$2.94 
13,5/21/18,11,$3.93 
13,5/21/18,12,$5.43 
13,5/21/18,13,$6.41 
13,5/21/18,14,$6.26 
13,5/21/18,15,$6.48 
13,5/21/18,16,$7.02 
13,5/21/18,17,$6.82 
13,5/21/18,18,$6.93 
13,5/21/18,19,$7.16 
13,5/21/18,20,$7.58 
13,5/21/18,21,$2.76 
13,5/21/18,22,$2.59 
13,5/21/18,23,$5.32 
13,5/22/18,0,$7.95 
13,5/22/18,1,$8.94 
13,5/22/18,2,$7.33 
13,5/22/18,3,$7.40 
13,5/22/18,4,$4.04 
13,5/22/18,5,$3.13 
13,5/22/18,6,$1.81 
13,5/22/18,7,$1.28 
13,5/22/18,8,$1.13 
13,5/22/18,9,$1.34 
13,5/22/18,10,$2.01 
13,5/22/18,11,$2.50 
13,5/22/18,12,$3.76 
13,5/22/18,13,$5.00 
13,5/22/18,14,$5.47 
13,5/22/18,15,$5.75 
13,5/22/18,16,$6.35 
13,5/22/18,17,$6.11 
13,5/22/18,18,$5.92 
13,5/22/18,19,$6.06 
13,5/22/18,20,$5.33 
13,5/22/18,21,$5.01 
13,5/22/18,22,$4.94 
13,5/22/18,23,$4.55 
13,5/23/18,0,$4.11 
13,5/23/18,1,$5.88 
13,5/23/18,2,$6.75 
13,5/23/18,3,$7.00 
13,5/23/18,4,$3.91 
13,5/23/18,5,$2.73 
13,5/23/18,6,$1.89 
13,5/23/18,7,$1.30 
13,5/23/18,8,$1.10 
13,5/23/18,9,$1.13 
13,5/23/18,10,$1.54 
13,5/23/18,11,$2.43 
13,5/23/18,12,$3.31 
13,5/23/18,13,$4.11 
13,5/23/18,14,$4.00 
13,5/23/18,15,$4.34 
13,5/23/18,16,$4.54 
13,5/23/18,17,$4.63 
13,5/23/18,18,$4.36 
13,5/23/18,19,$4.62 
13,5/23/18,20,$4.83 
13,5/23/18,21,$4.91 
13,5/23/18,22,$4.70 
13,5/23/18,23,$1.86 
13,5/24/18,0,$4.04 
13,5/24/18,1,$5.92 
13,5/24/18,2,$6.26 
13,5/24/18,3,$6.16 
13,5/24/18,4,$3.06 
13,5/24/18,5,$2.38 
13,5/24/18,6,$1.64 
13,5/24/18,7,$1.08 
13,5/24/18,8,$0.98 
13,5/24/18,9,$1.11 
13,5/24/18,10,$1.46 
13,5/24/18,11,$2.09 
13,5/24/18,12,$2.71 
13,5/24/18,13,$2.98 
13,5/24/18,14,$3.35 
13,5/24/18,15,$4.07 
13,5/24/18,16,$4.30 
13,5/24/18,17,$4.62 
13,5/24/18,18,$4.72 
13,5/24/18,19,$4.91 
13,5/24/18,20,$4.78 
13,5/24/18,21,$3.00 
13,5/24/18,22,$4.96 
13,5/24/18,23,$5.03 
13,5/25/18,0,$5.10 
13,5/25/18,1,$7.47 
13,5/25/18,2,$8.00 
13,5/25/18,3,$8.03 
13,5/25/18,4,$4.36 
13,5/25/18,5,$3.55 
13,5/25/18,6,$1.98 
13,5/25/18,7,$1.42 
13,5/25/18,8,$0.90 
13,5/25/18,9,$1.13 
13,5/25/18,10,$1.42 
13,5/25/18,11,$2.10 
13,5/25/18,12,$2.63 
13,5/25/18,13,$3.32 
13,5/25/18,14,$3.76 
13,5/25/18,15,$4.16 
13,5/25/18,16,$4.73 
13,5/25/18,17,$5.55 
13,5/25/18,18,$4.31 
13,5/25/18,19,$4.10 
13,5/25/18,20,$4.03 
13,5/25/18,21,$4.11 
13,5/25/18,22,$4.11 
13,5/25/18,23,$3.90 
13,5/26/18,0,$2.88 
13,5/26/18,1,$4.28 
13,5/26/18,2,$5.55 
13,5/26/18,3,$5.68 
13,5/26/18,4,$2.76 
13,5/26/18,5,$1.98 
13,5/26/18,6,$1.75 
13,5/26/18,7,$1.39 
13,5/26/18,8,$1.07 
13,5/26/18,9,$0.89 
13,5/26/18,10,$1.00 
13,5/26/18,11,$1.44 
13,5/26/18,12,$2.38 
13,5/26/18,13,$3.50 
13,5/26/18,14,$3.85 
13,5/26/18,15,$3.68 
13,5/26/18,16,$3.64 
13,5/26/18,17,$3.83 
13,5/26/18,18,$3.59 
13,5/26/18,19,$3.63 
13,5/26/18,20,$4.20 
13,5/26/18,21,$4.33 
13,5/26/18,22,$4.34 
13,5/26/18,23,$4.63 
13,5/27/18,0,$3.27 
13,5/27/18,1,$4.92 
13,5/27/18,2,$6.37 
13,5/27/18,3,$7.11 
13,5/27/18,4,$4.12 
13,5/27/18,5,$3.27 
13,5/27/18,6,$1.74 
13,5/27/18,7,$1.39 
13,5/27/18,8,$1.08 
13,5/27/18,9,$0.90 
13,5/27/18,10,$0.98 
13,5/27/18,11,$1.50 
13,5/27/18,12,$2.23 
13,5/27/18,13,$3.00 
13,5/27/18,14,$3.49 
13,5/27/18,15,$4.33 
13,5/27/18,16,$4.17 
13,5/27/18,17,$4.27 
13,5/27/18,18,$4.02 
13,5/27/18,19,$3.84 
13,5/27/18,20,$4.49 
13,5/27/18,21,$4.78 
13,5/27/18,22,$5.09 
13,5/27/18,23,$5.17 
13,5/28/18,0,$4.13 
13,5/28/18,1,$5.29 
13,5/28/18,2,$6.99 
13,5/28/18,3,$8.04 
13,5/28/18,4,$4.98 
13,5/28/18,5,$3.66 
13,5/28/18,6,$2.28 
13,5/28/18,7,$1.59 
13,5/28/18,8,$1.33 
13,5/28/18,9,$0.99 
13,5/28/18,10,$1.03 
13,5/28/18,11,$1.25 
13,5/28/18,12,$1.98 
13,5/28/18,13,$3.12 
13,5/28/18,14,$4.25 
13,5/28/18,15,$4.35 
13,5/28/18,16,$4.26 
13,5/28/18,17,$4.22 
13,5/28/18,18,$4.46 
13,5/28/18,19,$4.11 
13,5/28/18,20,$4.48 
13,5/28/18,21,$5.06 
13,5/28/18,22,$5.12 
13,5/28/18,23,$5.72 
